Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team
Grzybek, PL,15.0,33.3,1.6,1.7,3.3,3.5,6.7,332.0,51.9,17.9,275.0,0.88,0.34,0.12,0.07,-1243.0,-21.0,-496.0,6.7,40.0,0.0,2.0,2021 Summer,
Guertas, FR,19.0,57.9,4.6,4.2,2.4,6.9,5.5,351.0,69.4,15.7,302.0,1.18,0.32,0.27,0.37,-197.0,-8.0,-412.0,36.8,0.0,0.0,3.0,2021 Summer,
Guigo, BR,38.0,57.9,2.6,3.7,3.7,6.1,7.2,386.0,59.3,25.7,524.0,1.04,0.48,0.21,0.23,96.0,1.0,30.0,18.4,15.8,0.0,24.0,2021 Summer,
Guigs, BR,18.0,44.4,4.1,0.9,2.2,8.2,2.0,249.0,68.9,8.8,156.0,3.23,1.63,0.6,0.57,-4.0,-1.0,42.0,5.6,22.2,0.0,1.0,2021 Summer,
Gumayusi, KR,46.0,63.0,5.5,3.0,1.3,4.1,10.0,440.0,59.8,26.6,474.0,1.34,0.6,0.38,0.24,318.0,6.0,93.0,19.6,2.2,0.0,3.0,2021 Summer,
Guubi, DK,22.0,63.6,4.0,3.8,2.5,6.3,9.3,442.0,64.2,29.8,602.0,1.02,0.39,0.25,0.17,209.0,6.0,180.0,36.4,9.1,0.0,2.0,2021 Summer,
Gweiss, US,4.0,0.0,1.3,0.5,4.8,5.5,1.3,217.0,67.4,10.1,175.0,2.14,1.33,0.37,0.5,-296.0,-1.0,-584.0,25.0,0.0,0.0,,2021 Summer,
H1de, BG,13.0,23.1,1.9,0.6,4.5,8.2,1.2,227.0,68.6,7.1,139.0,2.58,1.29,0.4,0.33,-347.0,-0.0,-51.0,30.8,23.1,0.0,,2021 Summer,
H3, VN,42.0,54.8,2.9,0.8,3.8,10.2,1.0,246.0,63.6,8.2,196.0,2.54,1.45,0.35,0.4,-104.0,-4.0,-126.0,19.0,11.9,0.0,1.0,2021 Summer,
H4cker, CN,39.0,33.3,2.7,3.0,3.1,5.2,6.0,343.0,69.4,18.7,351.0,,0.39,0.32,0.31,,,,,,0.0,,2021 Summer,
HONOR, FR,16.0,18.8,1.7,0.5,4.8,7.5,1.1,219.0,69.2,9.2,178.0,2.36,1.46,0.3,0.44,-427.0,-0.0,-318.0,25.0,18.8,0.0,,2021 Summer,
HRK, JP,9.0,22.2,1.7,2.9,4.2,4.4,5.6,320.0,74.2,17.4,327.0,1.83,0.66,0.44,0.28,223.0,5.0,234.0,44.4,11.1,0.0,4.0,2021 Summer,
Habubu, DE,36.0,66.7,4.2,4.4,2.9,8.1,6.2,379.0,72.8,19.5,422.0,1.41,0.4,0.32,0.34,333.0,6.0,329.0,22.2,16.7,0.0,7.0,2021 Summer,
Hachi, NL,10.0,10.0,1.4,1.5,4.2,4.5,7.0,330.0,51.5,23.2,443.0,0.76,0.4,0.08,0.16,-707.0,-12.0,-514.0,20.0,10.0,0.0,3.0,2021 Summer,
Hadess, NL,39.0,53.8,4.0,3.1,2.5,6.7,6.1,348.0,72.7,17.1,363.0,1.63,0.45,0.46,0.37,98.0,5.0,314.0,25.6,7.7,0.0,6.0,2021 Summer,
Haeri, AU,68.0,61.8,4.6,3.9,2.3,6.7,9.2,429.0,67.2,23.4,503.0,1.14,0.46,0.21,0.2,218.0,7.0,71.0,16.2,8.8,0.0,26.0,2021 Summer,
Hairost, FR,1.0,100.0,3.0,0.0,2.0,6.0,4.6,289.0,60.0,11.5,202.0,1.21,0.36,0.27,0.36,-582.0,-20.0,-1021.0,0.0,100.0,0.0,,2021 Summer,
