"Tournament,Team1,Team2,WinTeam,LossTeam,Team1Players,Team2Players,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1Towers,Team2Towers,Team1RiftHeralds,Team2RiftHeralds,Team1Inhibitors,Team2Inhibitors,MatchHistory"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""Barça eSports"",""MAD Lions Madrid"",""Barça eSports"",""Gaethan,Hadess,Knighter,DenVoksne,Tore"",""Dreedy,LeBron,twohoyrz,Deadly,Lucky (Luca Santos)"",4,1,1,0,11,4,0,2,3,0,"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""BISONS ECLUB"",""BISONS ECLUB"",""MAD Lions Madrid"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",2,6,2,1,3,11,1,1,0,6,"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""G2 Arctic"",""G2 Arctic"",""MAD Lions Madrid"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",""Color,Alexx,Fresskowy,Supa,Efias"",2,3,2,0,6,8,1,1,1,1,"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""Giants (Spanish Team)"",""MAD Lions Madrid"",""Giants (Spanish Team)"",""Gaethan,Hadess,Knighter,DenVoksne,Tore"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",2,3,1,0,10,1,1,1,2,0,"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""Team Heretics"",""MAD Lions Madrid"",""Team Heretics"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",5,0,2,0,10,3,2,0,2,0,"
"""LVP SL 2022 Spring"",""MAD Lions Madrid"",""Team Heretics"",""Team Heretics"",""MAD Lions Madrid"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",1,2,0,1,0,8,1,1,0,1,"
"""LVP SL 2022 Spring"",""Movistar Riders"",""Barça eSports"",""Barça eSports"",""Movistar Riders"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",""Dreedy,LeBron,twohoyrz,Deadly,Lucky (Luca Santos)"",3,2,0,1,3,11,1,1,0,3,"
"""LVP SL 2022 Spring"",""Movistar Riders"",""BISONS ECLUB"",""BISONS ECLUB"",""Movistar Riders"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",0,4,0,0,2,8,2,0,0,1,"
"""LVP SL 2022 Spring"",""Movistar Riders"",""G2 Arctic"",""G2 Arctic"",""Movistar Riders"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",""Color,Alexx,Fresskowy,Supa,Efias"",3,2,0,2,4,11,2,0,0,5,"
"""LVP SL 2022 Spring"",""Movistar Riders"",""Giants (Spanish Team)"",""Movistar Riders"",""Giants (Spanish Team)"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",3,3,2,0,10,3,1,1,1,0,"
"""LVP SL 2022 Spring"",""Movistar Riders"",""KOI (Spanish Team)"",""Movistar Riders"",""KOI (Spanish Team)"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",4,0,0,0,7,2,0,2,1,0,"
