Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Yaharong, KR,3,33.3%,3.6,3.0,1.7,3.0,8.2,370,78.9%,33.2,518,0.64,0.42,0.14,0.18,-1188,-26,-388,0%,0%,0,-,2021 Summer
Yakkey, RO,4,0%,2.5,4.0,3.5,4.8,8.6,406,66.9%,17.9,359,0.75,0.27,0.15,0.09,725,10,499,25%,0%,0,3,2021 Summer
Yamato0, PT,11,27.3%,2.5,3.0,2.9,4.2,7.8,376,66.5%,27.6,484,1.08,0.37,0.25,0.13,-178,-2,93,36.4%,9.1%,0,1,2021 Summer
Yampi, BR,22,59.1%,4.6,3.1,2.6,8.9,5.7,357,73.9%,19.0,407,1.58,0.37,0.42,0.32,320,-3,-97,40.9%,13.6%,0,3,2021 Summer
Yashiro, LT,15,26.7%,2.3,1.9,2.9,4.7,8.3,365,47.9%,28.3,477,0.88,0.36,0.24,0.14,-957,-7,-50,6.7%,13.3%,0,3,2021 Summer
Yatsu, BR,6,33.3%,4.4,2.0,1.3,3.8,7.3,330,54.2%,19.8,358,1.28,0.57,0.17,0.23,-516,-9,-300,0%,0%,0,-,2021 Summer
YeG, CN,34,23.5%,2.3,2.0,2.9,4.7,7.6,356,65.3%,21.5,393,-,0.38,0.16,0.2,-,-,-,-,-,0,-,2021 Summer
YellowYoshi, JP,9,44.4%,2.2,1.4,3.8,7.0,6.0,322,59.8%,21.3,354,1.04,0.45,0.21,0.24,-484,-8,-39,22.2%,11.1%,0,1,2021 Summer
Yeon, US,68,61.8%,3.6,4.4,2.8,5.8,8.6,417,64.2%,28.7,616,1.23,0.52,0.31,0.16,-51,-4,-55,19.1%,8.8%,0,10,2021 Summer
Yike, SE,29,82.8%,6,5.3,2.2,8.2,5.9,386,77.8%,21.3,467,1.31,0.38,0.31,0.34,418,3,227,37.9%,3.4%,0,3,2021 Summer
Yoft, EE,18,50%,2.9,3.4,3.4,6.5,5.9,351,63.3%,21.5,440,0.99,0.22,0.22,0.21,-284,0,-164,33.3%,5.6%,0,2,2021 Summer
Yoppa, RS,34,38.2%,2,3.5,4.1,4.9,7.7,394,57.4%,26.0,539,0.96,0.4,0.16,0.17,325,6,85,14.7%,14.7%,0,23,2021 Summer
Yoshino, VN,23,21.7%,2.1,3.0,3.7,4.7,7.7,373,58.8%,24.2,489,1.07,0.41,0.25,0.2,211,6,112,17.4%,8.7%,0,10,2021 Summer
YouMertBRO, GR,18,33.3%,2.1,3.2,4.1,5.3,7.0,358,53.8%,21.9,470,1.18,0.42,0.19,0.11,-342,-2,-294,22.2%,5.6%,0,4,2021 Summer
Young, US,4,0%,1.2,2.8,6.0,4.5,7.3,369,80.5%,23.9,418,0.7,0.29,0.2,0.07,-677,-14,-645,50%,0%,0,-,2021 Summer
