Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Feng, CN,19,26.3%,2.1,1.8,3.2,4.9,6.5,337,62.5%,19.3,335,-,0.52,0.13,0.11,-443,-6,-452,31.6%,10.5%,0,1,2016 Spring
FeniX, KR,29,51.7%,4.7,3.6,1.9,5.4,9.3,413,68.4%,29,587,-,0.34,0.1,0.05,238,14,301,10.3%,6.9%,0,7,2016 Spring
Fireloli,,3,0%,0.8,0.7,5.3,3.3,3.7,-,62.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
FishBall,,5,40%,1.8,2.2,4.2,5.2,3.7,-,71.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Five,,36,50%,3.7,0.7,2.8,9.4,1.3,-,71.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Flame, KR,17,47.1%,3.3,2.5,2.2,4.6,7.8,389,60.2%,19.6,377,-,0.57,0.15,0.13,187,4,76,5.9%,17.6%,0,6,2016 Spring
Flandre, CN,46,54.3%,3.2,3.0,2.6,5.2,8.6,-,73.3%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Flaresz,,11,27.3%,1.5,2.3,4.0,3.9,6.5,331,55.3%,19.6,357,-,0.49,0.19,0.1,-489,-8,-330,36.4%,18.2%,0,3,2016 Spring
Flawless, KR,44,20.5%,1.7,1.3,3.0,3.7,4.1,317,67.9%,16.7,270,-,0.91,0.63,0.26,-306,-2,-249,31.8%,11.4%,0,2,2016 Spring
Fly, KR,46,63%,4.3,2.5,2.1,6.6,8.2,383,71.7%,25.3,504,-,0.55,0.22,0.13,-94,-2,-22,34.8%,10.9%,0,5,2016 Spring
FoFo, TW,5,40%,1.5,1.2,2.0,1.8,8.7,361,54.2%,30.8,514,-,0.54,0.18,0.17,53,14,140,40%,0%,0,1,2016 Spring
Fox, SE,21,47.6%,3.9,3.5,2.3,5.7,8.2,394,67.1%,27.3,543,-,0.37,0.13,0.07,-85,-5,-290,38.1%,9.5%,0,7,2016 Spring
Freeze, CZ,19,47.4%,4.1,3.4,1.8,4.2,9.5,432,68.3%,29.6,547,-,0.43,0.24,0.06,338,10,117,31.6%,0%,0,-,2016 Spring
Froggen, DK,12,50%,5.4,2.8,1.5,5.3,9.2,409,76.3%,35.5,593,-,0.54,0.23,0.15,161,5,211,41.7%,0%,0,2,2016 Spring
Frozen, KR,10,60%,4.7,2.2,1.5,4.9,8.7,413,55.1%,27.5,482,-,0.54,0.22,0.09,241,-2,-98,20%,10%,0,4,2016 Spring
Fury, KR,15,26.7%,3.3,2.7,1.9,3.5,8.7,386,62.2%,27.3,502,-,0.51,0.33,0.09,-67,-3,-136,33.3%,0%,0,1,2016 Spring
GBM, KR,20,40%,3.4,3.1,2.3,4.5,8.0,378,77.5%,33.3,579,-,0.29,0.2,0.09,-381,-8,-112,5%,0%,0,4,2016 Spring
GODFRED,,16,12.5%,2.0,0.1,2.3,4.4,0.7,226,74.7%,6.1,89,-,1.02,0.2,0.19,-289,-4,-394,18.8%,12.5%,0,-,2016 Spring
GODV,,39,48.7%,2.7,3.2,2.7,4.3,8.8,-,64.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Gamsu, KR,44,50%,3.5,2.2,2.3,6.0,7.3,367,69.5%,20.1,359,-,0.44,0.16,0.07,6,-1,67,11.4%,15.9%,0,12,2016 Spring
Gate, US,23,34.8%,2.6,1.1,3.1,6.9,2.1,277,73.4%,11.3,188,-,1,0.24,0.21,-239,-4,-24,43.5%,8.7%,0,-,2016 Spring
Gilius, DE,18,33.3%,2.0,0.9,2.8,4.7,3.4,308,67.1%,14.1,253,-,0.75,0.56,0.14,-191,-4,-208,27.8%,11.1%,0,2,2016 Spring
GimGoon, KR,39,35.9%,2.9,2.6,2.7,5.2,7.5,-,62.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Godbro, DK,8,25%,1.5,2.5,3.0,1.9,7.6,360,47.1%,25.1,450,-,0.5,0.16,0.09,-643,-30,-1005,37.5%,0%,0,4,2016 Spring
Goldenglue, US,5,0%,2.1,1.4,2.2,3.2,8.3,363,55.5%,28.7,386,-,0.59,0.28,0.11,-564,-15,-431,40%,20%,0,-,2016 Spring
GorillA, KR,45,77.8%,5.3,0.5,2.0,10.1,1.2,277,69.8%,5.7,117,-,1.36,0.29,0.3,92,1,362,37.8%,2.2%,0,3,2016 Spring
GuGer, KR,47,19.1%,1.9,0.3,3.0,5.4,1.1,237,69.9%,7.2,125,-,1.44,0.36,0.32,-40,1,-195,23.4%,4.3%,0,1,2016 Spring
Hai, US,20,65%,3.4,0.4,3.0,9.7,0.8,278,70.7%,8.2,176,-,1,0.37,0.17,203,-1,193,20%,5%,0,-,2016 Spring
Hakuho, US,16,50%,2.2,0.6,3.1,6.3,1.0,262,67.1%,9.6,168,-,1.06,0.33,0.2,210,3,360,31.3%,0%,0,-,2016 Spring
HappyY,,23,56.5%,4.4,3.9,2.3,6.2,8.3,-,67.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Hard, CA,14,42.9%,3.7,1.1,1.8,5.5,4.2,327,71.3%,17.4,287,-,0.75,0.6,0.2,-154,-1,-166,50%,0%,0,1,2016 Spring
Hauntzer, US,38,55.3%,4.0,2.5,2.2,6.4,7.5,382,59%,19.6,407,-,0.51,0.16,0.08,63,-0,64,21.1%,23.7%,0,11,2016 Spring
Hipo,,40,20%,1.4,1.0,3.5,3.9,6.9,332,59.5%,17.4,304,-,0.55,0.15,0.1,-333,-10,-404,20%,15%,0,7,2016 Spring
Hjarnan, SE,22,63.6%,5.4,3.5,1.5,4.7,9.3,426,63.8%,29.9,587,-,0.4,0.26,0.04,122,2,-27,27.3%,0%,0,-,2016 Spring
Holyphoenix, TR,8,25%,3.3,3.0,1.8,2.8,9.2,395,54.5%,27.7,536,-,0.31,0.16,0,-209,1,330,25%,0%,0,2,2016 Spring
Huhi, KR,49,61.2%,3.3,3.2,2.6,5.6,8.1,389,72.3%,27.9,545,-,0.6,0.19,0.09,-51,-3,1,28.6%,10.2%,0,13,2016 Spring
Huni, KR,24,83.3%,4.2,3.5,2.4,6.5,7.8,425,60.4%,25.7,573,-,0.48,0.15,0.05,452,14,502,45.8%,12.5%,2,7,2016 Spring
Hustlin, SE,16,56.3%,4.2,0.2,2.0,8.1,1.3,267,68.8%,5.9,113,-,1.17,0.31,0.21,27,3,449,18.8%,0%,0,-,2016 Spring
Hybrid, NL,36,63.9%,4.5,0.5,2.0,8.7,1.1,271,69.2%,6.9,142,-,1.24,0.39,0.26,204,1,376,22.2%,13.9%,0,-,2016 Spring
Hylissang, BG,21,47.6%,3.0,0.5,3.1,8.9,1.3,262,67.7%,5.5,108,-,1.2,0.36,0.25,-69,2,216,28.6%,9.5%,0,1,2016 Spring
IWillDominate,,1,0%,2.7,1.0,3.0,7.0,3.1,288,66.7%,14.5,377,-,0.59,0.62,0.08,-47,4,488,0%,0%,0,-,2016 Spring
Ian, KR,4,75%,8.4,4.8,1.3,5.8,8.3,384,79.9%,31,649,-,0.59,0.37,0.08,-16,-7,-89,75%,0%,0,-,2016 Spring
IgNar, KR,3,66.7%,3.6,0.3,1.7,5.7,1.2,245,57%,5.4,98,-,1.58,0.48,0.34,-137,-1,-485,33.3%,0%,0,-,2016 Spring
Ikssu, KR,48,50%,2.7,1.7,2.8,5.9,7.1,362,66.9%,20.2,379,-,0.5,0.18,0.09,-65,-4,-26,27.1%,12.5%,0,8,2016 Spring
Impact, KR,19,36.8%,2.6,1.9,2.9,5.6,6.7,347,74.5%,22.1,370,-,0.46,0.13,0.07,-303,-0,40,5.3%,42.1%,0,4,2016 Spring
Jaeger, DE,20,50%,2.4,2.5,3.2,5.2,7.2,376,73.9%,21.3,380,-,0.46,0.22,0.08,-252,-13,-494,25%,20%,0,7,2016 Spring
Jankos, PL,28,64.3%,4.6,2.4,2.0,6.6,4.0,351,75.3%,17.3,328,-,0.94,0.58,0.2,240,-4,55,57.1%,14.3%,0,7,2016 Spring
Jay, TW,5,40%,2.3,0.6,2.0,4.0,0.8,240,63.7%,9.8,141,-,1.55,0.39,0.33,-8,-8,375,60%,0%,0,-,2016 Spring
Jensen, DK,22,59.1%,4.1,4.4,2.3,5.1,8.8,421,66.8%,30.2,640,-,0.4,0.13,0.09,480,7,257,13.6%,9.1%,0,2,2016 Spring
JieZou,,28,28.6%,2.7,0.3,2.7,6.9,1.2,-,62.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Jinckey,,3,0%,1.3,0.7,2.7,2.7,3.9,287,69.8%,22.4,271,-,0.79,0.3,0.26,-467,-8,-305,33.3%,0%,0,-,2016 Spring
Jockster, BR,3,0%,1.6,0.3,3.3,5.0,1.1,228,73.3%,7.8,149,-,1.15,0.15,0.28,-375,-6,-554,33.3%,33.3%,0,-,2016 Spring
KEITH, US,16,37.5%,2.7,3.4,2.4,3.1,8.1,373,69.3%,26.4,427,-,0.33,0.25,0.05,-116,-5,-243,25%,6.3%,0,-,2016 Spring
KaSing, GB,22,63.6%,4.8,0.6,1.8,8.0,1.3,276,70.1%,7.5,141,-,1.48,0.45,0.4,250,-0,226,27.3%,18.2%,0,-,2016 Spring
Kaas,,8,25%,1.5,0.6,3.4,4.5,1.0,238,49.3%,6.5,136,-,1.23,0.35,0.25,-176,2,-642,25%,0%,0,-,2016 Spring
Karsa, TW,20,65%,4.7,3.5,2.0,5.9,4.4,361,68.5%,17.5,323,-,0.76,0.58,0.25,147,-3,-117,50%,0%,0,2,2016 Spring
KeY, KR,7,57.1%,2.5,0.4,3.6,8.4,1.2,248,74.5%,7.3,135,-,1.25,0.49,0.21,-154,2,-313,14.3%,14.3%,0,-,2016 Spring
Keane,,7,57.1%,4.1,1.7,2.4,8.3,8.7,405,87%,24.2,485,-,0.42,0.09,0.06,256,-1,-72,28.6%,0%,0,1,2016 Spring
Ken,,4,50%,3.0,0.5,2.3,6.3,0.9,234,53%,7.1,108,-,1.35,0.23,0.27,-352,7,-166,25%,0%,0,-,2016 Spring
Kez,,9,33.3%,4.3,2.3,1.8,5.3,3.9,322,81.8%,21.1,408,-,0.75,0.55,0.17,-318,-6,-318,44.4%,11.1%,0,1,2016 Spring
